date,time_kst,분류,항목,금일(원/kg),전일(원/kg)
2025-09-28,12:32,육계(공장도가),9~10호,3615,3615
2025-09-28,12:32,육계(공장도가),11호,3474,3474
2025-09-28,12:32,육계(공장도가),12호,3234,3234
2025-09-28,12:32,생계,대,1990,1990
2025-09-28,12:32,생계,중,2090,2090
2025-09-28,12:32,생계,소,2190,2190
2025-09-28,14:36,육계(공장도가),9~10호,3615,3615
2025-09-28,14:36,육계(공장도가),11호,3474,3474
2025-09-28,14:36,육계(공장도가),12호,3234,3234
2025-09-28,14:36,생계,대,1990,1990
2025-09-28,14:36,생계,중,2090,2090
2025-09-28,14:36,생계,소,2190,2190
2025-09-29,12:31,육계(공장도가),9~10호,3615,3615
2025-09-29,12:31,육계(공장도가),11호,3474,3474
2025-09-29,12:31,육계(공장도가),12호,3234,3234
2025-09-29,12:31,생계,대,1990,1990
2025-09-29,12:31,생계,중,2090,2090
2025-09-29,12:31,생계,소,2190,2190
2025-09-29,14:40,육계(공장도가),9~10호,3615,3615
2025-09-29,14:40,육계(공장도가),11호,3474,3474
2025-09-29,14:40,육계(공장도가),12호,3234,3234
2025-09-29,14:40,생계,대,1990,1990
2025-09-29,14:40,생계,중,2090,2090
2025-09-29,14:40,생계,소,2190,2190
2025-09-30,12:23,육계(공장도가),9~10호,3615,3615
2025-09-30,12:23,육계(공장도가),11호,3474,3474
2025-09-30,12:23,육계(공장도가),12호,3234,3234
2025-09-30,12:23,생계,대,1990,1990
2025-09-30,12:23,생계,중,2090,2090
2025-09-30,12:23,생계,소,2190,2190
2025-09-30,14:37,육계(공장도가),9~10호,3615,3615
2025-09-30,14:37,육계(공장도가),11호,3474,3474
2025-09-30,14:37,육계(공장도가),12호,3234,3234
2025-09-30,14:37,생계,대,1990,1990
2025-09-30,14:37,생계,중,2090,2090
2025-09-30,14:37,생계,소,2190,2190
2025-10-01,12:36,육계(공장도가),9~10호,3462,3615
2025-10-01,12:36,육계(공장도가),11호,3326,3474
2025-10-01,12:36,육계(공장도가),12호,3089,3234
2025-10-01,12:36,생계,대,1890,1990
2025-10-01,12:36,생계,중,1990,2090
2025-10-01,12:36,생계,소,2090,2190
2025-10-01,14:39,육계(공장도가),9~10호,3462,3615
2025-10-01,14:39,육계(공장도가),11호,3326,3474
2025-10-01,14:39,육계(공장도가),12호,3089,3234
2025-10-01,14:39,생계,대,1890,1990
2025-10-01,14:39,생계,중,1990,2090
2025-10-01,14:39,생계,소,2090,2190
2025-10-02,12:13,육계(공장도가),9~10호,3462,3462
2025-10-02,12:13,육계(공장도가),11호,3326,3326
2025-10-02,12:13,육계(공장도가),12호,3089,3089
2025-10-02,12:13,생계,대,1890,1890
2025-10-02,12:13,생계,중,1990,1990
2025-10-02,12:13,생계,소,2090,2090
2025-10-02,14:36,육계(공장도가),9~10호,3462,3462
2025-10-02,14:36,육계(공장도가),11호,3326,3326
2025-10-02,14:36,육계(공장도가),12호,3089,3089
2025-10-02,14:36,생계,대,1890,1890
2025-10-02,14:36,생계,중,1990,1990
2025-10-02,14:36,생계,소,2090,2090
2025-10-03,12:10,육계(공장도가),9~10호,3462,3462
2025-10-03,12:10,육계(공장도가),11호,3326,3326
2025-10-03,12:10,육계(공장도가),12호,3089,3089
2025-10-03,12:10,생계,대,1890,1890
2025-10-03,12:10,생계,중,1990,1990
2025-10-03,12:10,생계,소,2090,2090
2025-10-03,14:39,육계(공장도가),9~10호,3462,3462
2025-10-03,14:39,육계(공장도가),11호,3326,3326
2025-10-03,14:39,육계(공장도가),12호,3089,3089
2025-10-03,14:39,생계,대,1890,1890
2025-10-03,14:39,생계,중,1990,1990
2025-10-03,14:39,생계,소,2090,2090
2025-10-04,12:10,육계(공장도가),9~10호,3462,3462
2025-10-04,12:10,육계(공장도가),11호,3326,3326
2025-10-04,12:10,육계(공장도가),12호,3089,3089
2025-10-04,12:10,생계,대,1890,1890
2025-10-04,12:10,생계,중,1990,1990
2025-10-04,12:10,생계,소,2090,2090
2025-10-04,14:26,육계(공장도가),9~10호,3462,3462
2025-10-04,14:26,육계(공장도가),11호,3326,3326
2025-10-04,14:26,육계(공장도가),12호,3089,3089
2025-10-04,14:26,생계,대,1890,1890
2025-10-04,14:26,생계,중,1990,1990
2025-10-04,14:26,생계,소,2090,2090
2025-10-05,11:45,육계(공장도가),9~10호,3462,3462
2025-10-05,11:45,육계(공장도가),11호,3326,3326
2025-10-05,11:45,육계(공장도가),12호,3089,3089
